vendorId,companyName,primaryContactName,primaryContactEmail,phoneNumber,address,category,engagementStatus,registrationDate,lastInteractionDate,performanceRating,contractEndDate,notes
V1001,Henry Inc,Victoria Bennett,henry.inc49@example.com,9075756309,"2083 Williams Fort, Port Allisonfort, PR 95920",Logistics & Distribution,YET_TO_RESPOND,2024-06-02,2024-11-26T18:13:31.263630,4.0,2026-02-15,South successful four range return he style yes line bit its the goal management fall take any person thank official.
V1002,"Rogers, Wyatt and Carlson",Elizabeth Avery,rogers.wyatt.and.carlson3@example.com,001-281-213-2443x624,"PSC 0820, Box 7987, APO AE 00559",Packaging Solutions,OPEN_IN_PROGRESS,2023-10-26,2025-07-02T18:13:31.263901,2.5,2026-10-09,Arrive court report former home unit hotel decide loss woman leg television piece war thing majority wait.
V1003,Harrison PLC,Robert Haney,harrison.plc45@example.com,001-822-839-8692,"1796 Spencer Island Suite 323, Martinezmouth, PA 80970",Manufacturing Equipment,OPEN_IN_PROGRESS,2025-01-28,2025-09-12T18:13:31.264169,4.5,2026-01-31,Fish subject help population rise to director yes safe hundred million perhaps participant hold note visit.
V1004,Townsend-Williams,Jody Young,townsend-williams39@example.com,001-947-934-0950x22743,"759 Bradley Trace Apt. 666, Shanetown, PA 78933",Contract Manufacturing,OPEN_IN_PROGRESS,2023-06-01,2024-11-15T18:13:31.264449,3.7,2027-06-11,Leave police food less company tree reveal ask area single degree those compare including possible report own two.
V1005,Brown-Little,Amanda Gilbert,brown-little27@example.com,+1-243-407-6229,"51462 Joseph Divide Apt. 203, Terryfurt, MN 99155",Ingredients & Additives,COMPLETED_ONBOARDED,2022-12-14,2025-01-23T18:13:31.264736,4.5,2027-09-22,Respond fine maintain relationship meet front democratic skill president easy accept century throw student pass wonder dream type.
V1006,Anderson-Lopez,Ashley Wolf,anderson-lopez34@example.com,001-202-363-3187x596,"USNS Garcia, FPO AE 34769",Raw Materials (Produce),YET_TO_RESPOND,2024-03-21,2025-08-26T18:13:31.264971,2.1,2027-10-03,Threat strong present along boy star performance under word ask produce environment remain ask whatever.
V1007,Gonzalez Inc,Jonathan Lopez,gonzalez.inc47@example.com,+1-439-883-6884x6411,"7363 Rasmussen Spur, North James, VI 81515",Raw Materials (Produce),OPEN_IN_PROGRESS,2024-04-09,2025-02-02T18:13:31.265211,4.5,2026-12-07,Hard follow participant kind air maybe shake live past land.
V1008,"Mason, Potter and Francis",Heather Vincent,mason.potter.and.francis18@example.com,9132792989,"3765 Wilson Vista Suite 618, East Karenhaven, VT 58034",Manufacturing Equipment,YET_TO_RESPOND,2024-08-07,2025-03-10T18:13:31.265526,2.3,2025-11-30,World season none well nation voice investment fall actually ok happen right.
V1009,Todd-Riddle,Zachary Anderson,todd-riddle41@example.com,(435)540-0198x95992,"311 Smith Road, West Laurie, NM 36593",Marketing & Advertising,YET_TO_RESPOND,2023-02-23,2025-01-09T18:13:31.265805,1.7,2027-04-11,Number same research deep picture argue role stage professor it resource.
V1010,Ford and Sons,Jeffrey Soto,ford.and.sons22@example.com,582.993.5691x89790,"298 Susan Fields Apt. 229, Makaylafurt, TN 62402",Ingredients & Additives,COMPLETED_ONBOARDED,2023-08-31,2025-03-28T18:13:31.266038,2.4,2026-01-18,Upon sister group concern training economy resource moment news buy form recently save two.
